,tweet
67,"@frmPFHOYKhUBtUL @Nattiros Хохол, це рашисти вам фейками замість хліба годують :)

Вам лайна цього достатньо, щоб служити москві"
68,"@komdmitry1 @bocharik хохол иди нахуй, не до тебя :)) у меня тут новые проблемы..."
69,"@frmPFHOYKhUBtUL @ArthurM40330824 Хохол, так нормально підуть російських нацистів москалів-окупантів, глянь як ниють: 

https://t.co/yCXmf1JqsY"
70,@komdmitry1 @bocharik Кстати не до тебя еблана:))) тут еще ебанутее пришел хохол:)))
71,"@superyurch @Ludka07996350 Хохол — перекладається з тюркської, як дитя неба!Монгольською мовою хохул - означає блакитно-жовтий, небо і сонце.кацап ,в перекладі с тюрского -означає живодер, м’ясник, той, що забиває худобу."
72,"@KitsuneRaionhat Какая разница. Зачем придераться к словам. У меня были знакомые украинцы, которые или про себя или про своих родичей употребляли слово ""хохол"" но не в оскорбительным смысле конечно."
73,"@frmPFHOYKhUBtUL @GazetaRu Так, але тобі, хохол, навряд таке запропонують"
74,"@ru2ch Хохол, когда ракета летит на его трансформатор https://t.co/d9XOfVWNrT"
75,"@DDmitro76bek @yurachkivskyi @MatSci16 @CurrentTimeTv Сиди не кукарекай, хохол ебаный"
76,"Мой ""хохол"" в ваше ебло не влезет."
77,"сьогодні від одного україномовного незадоволеного чоловіка почув, що я ХОХОЛ

це дуже сумний наслідок, що хтось й надалі ділить наших співгромадян на українців і недоукраїнців

ще й використовуючи шовініське московське слово для цього"
78,"Пишут что из-за нехватки танков на полях битвы за Бахмут, снимают танки с постаментов для направления на фронт.

Снимите у нас в #Солнцево, что мариупольский хохол Саблин нам водрузил

Какая связь между Солнцево и танком? хуйзнает

Популярно
Т-54

#best"
79,"@Alex23657504 @R1ght_Now ты придурок?) наклепал в фш всех на одну картинку и говорит реальное современное фото ахахахахах
типичный хохол"
80,@nexta_tv 100% это какойто хохол
81,"@lex54774308 @ErmakovFeda Хохол не альтруист , ему нужен комбикорм )))"
82,@gricenk11 @bocharik Хохол ты путаешь! В Вашингтоне сидят ваши сутенеры! Или они бросили вас как ненужных портовых шлюх?))
83,"@user_konev @tass_agency Это означает, что хохол в комментах как обычно попытался хрюкнуть что-то умное 🤔"
84,@flv766 Иди маме в ебло плюнь хохол
85,@gricenk11 @bocharik Такую херню несёшь хохол) ты похоже сам запутался! В Вашингтоне ваши хозяева сидят! Причем здесь бочарик? И причем тут азиаты?
86,@IL221080 @tass_agency Уровень каламбура: хохол
87,"@usaty_avatarik НевИносимой - так может написать только ебаный хохол, так как его свинячий мозг не воспринимает букву Ы."
88,"@frmPFHOYKhUBtUL @NataBelyakovich @denezhken Звісно, тому російських нацистів і вбивають як диких собак

Хіба ти знаєш, хохол"
89,"@frmPFHOYKhUBtUL @turbanbazarova @NataBelyakovich @denezhken Москалі - це російські солдати, які зараз є окупантами, а тому їх лишається лише вбивати

Не всі ж такі продажні Іуди, як ти хохол, що будуть окупантам дупу лизати"
90,"@frmPFHOYKhUBtUL @aleksejtank1820 Хохол, тобі це й залишається лише - одобряти така доля прислуги окупантів"
91,@vzglyad Да в какую дружбу? Дружить с укропами хотят только хохол Дуда и жид Моравецкий! Сами пшеки укров терпеть не могут и гонят прочь из  Польши
92,"@alexiosvm1976 @frmPFHOYKhUBtUL @dw_russian Ні, москаль - це російський солдат, таких зараз багато гине окупантами-нацистами за фюрера Ху Йла путіна і олігархів

А цей - звичайний хохол - українець на службі в москви, якого чекає в'язниця, смерть чи втеча 

Щодо територій - все буде деокуповано, а окупанти - вбиті/втечуть"
93,"@Natanielbs Я хохол - но конину я люблю!
Русятину ещё не пробовал.
Но ещё вся жизнь в переди."
94,"RT @aleksejtank1820: Чем дальше хохол от свинарника, тем больше его поддерживает. https://t.co/fBGDzrBqhi"
95,@Morenabrunett У нас в казахстане все равно кто ты хохол русский еврей француз или немец все равно ты оруз.
96,"@anatoliisharii Так вот: вы, Анатолий не украинец. а самый настоящий хохол: тупой, трусливый, хитрый и без костей в языке. Прямо как воспетые в анекдотах хохлы. Прежде чем срать на голову другим - посмотрите лучше за собой и исправьте проблемы со своим восприятием."
97,"@SkiperKakao Хохол, обвиняющий кого-то в коррупции, это насильник, обвиняющий людей в сексизме."
98,"@chooseanother27 @SkiperKakao &gt;несёте свой коррумпированный, рабский русский мир
Хохол проецирует, спешите видеть"
99,"@NovynyNauky @frmPFHOYKhUBtUL @dw_russian Ты что, аккаунты перепутал, ЦИПСОшник? Хохол - это ты, он - москаль. А территории вы нам непременно вернёте"
