,tweet
62,"""Kiss my soles!""
Alec sticks his feet in your face.
You start kissing them.
""Do you want me to FUCK you, faggot?""
You nod.
""Bet you're rock-hard - kissing my feet, waiting to be fucked. Show me""
You pull down your pants.
He laughs.
""Try not to cum before my dick is in your ass."" https://t.co/scEUerzfvn"
63,RT @zmzlhlmy: gurl you’re a faggot?? worry about that first
64,RT @TrentGaper: THIS IS TRUE FAGGOT SERVICE. IF YOU ARE NASTY LIKE THIS DM ME SO I CAN PUT YOU IN YOUR BITCHASS PLACE
65,"RT @gatorrespectr: If liking her is gay, I'm a fuckin faggot"
66,Veronica Leal says puto (faggot) as she smacks their dicks together https://t.co/v0StegrWLY
67,RT @dyingpractice: pussy van faggot escaping the crime scene https://t.co/Xkn1XzLSGS
68,RT @ClinicSissyss: Say it faggot 🍑😈🍆💦😅💦👯‍♀️🌹👧🏼🌸👙🧚‍♀️ https://t.co/GYQAtriCxT
69,RT @dyingpractice: pussy van faggot escaping the crime scene https://t.co/Xkn1XzLSGS
70,@annakhachiyan A true faggot stitch requires suppleness of wrist
71,"they told me to straighten up my act so i screamed ""FAGGOT"""
72,RT @sissyfagkeith: Faggot Keith Cornelius admitting their a sissy Faggot and permission to expose them as a Fag and turn into a sissy girl!…
73,I'm such a fucking faggot (male)
74,"RT @KinksterDC: It only took one visit, but @Keating_xxx and @lone_sadist completely ruined my appetite for anything but this. Chain me to…"
75,RT @KadjoMoussa: Open that slutty fucking mouth. Let the #King snaked you bitchy faggot. https://t.co/Bt7cemrGZa
76,Then I'm a faggot today fellas 😶 https://t.co/mdGKkeAWwy
77,"RT @gatorrespectr: If liking her is gay, I'm a fuckin faggot"
78,RT @SubParallax: faggot https://t.co/56jo9aDm8r
79,RT @eagerbttmxxx: Watch my faggot ass get fucked by Adam Russo 🤤🍑🔐 And this is just Part 1 😉 Full video at https://t.co/Lf2eIQBuuZ and http…
80,Faggot in his 40s sitting there talkings about convos I’m having with my ex. What a nerd. Chat to ur ugly wife and ugly kids more. All you do is talk about me ur a wasteman. Anyone that disagrees is also a wasteman
81,RT @sissyfagbilly94: Twink fag pisses boxers outdoors naked and drinks it #humiliation #piss #public #sissyfaggotbilly #twink #faggot https…
82,@RiffSkjerven @Brad_Wolfe @ElijahSchaffer cry more antifa faggot
83,RT @czarmitch: another transmasc faggot clocking into the “complicated relationship with lesbianism” factory
84,"RT @liberalvart: patrick stump walked into that studio, did 4 lines of coke, texted pete wentz ""lol FAGGOT"", put his CLIT directly on the m…"
85,RT @CianOMahony: HSBC about to start calling me a faggot I think https://t.co/CDwnqveIzX
