,tweet
35,@AlMasryAlYoum ان شاء الله يا ستى متقطعيش ربنا يكرمك بحد كافر وخلاص حتى تكونى معاه دنيا واخرة
36,"@asimawan13 بھائی مسلمان وہ تھے جو کافر کے ساتھ ایک تلوار سے لڑتے تھے 
آج کے مسلمان کوش کیا پتا تلوار کا 
آج کا مسلمان شلوار سے جنگ لڑتا ہے 
مولوی ۔جج ۔جنرل"
37,"جالبه -۲
- کشورهای عربی با جمهوری اسلامی *دوست صمیمی* شده‌اند و شیعیان را کافر محسوب نمی‌کنند
- روسیه *سهمیه رایگان* دانشگاه‌هایش را برای آقازاده‌ها ۳ برابر کرده
- چین دیگه از اوهام اعراب برای *مالکیت جزایر ایرانی* طرفداری نمی‌کند

*در مجموع کل دنیا عاشق جمهوری اسلامی شده‌ است.*"
38,RT @QQQ9K: هالوقت لو تغرد شي مو عن رمضان يحسبونك كافر.
39,"RT @iAimalKhan_: میں گواہی دیتاہوں کہ مرزاغلام احمدقادیانی جھوٹامدّعی نبوّت کافر ہےاور کذاب ہے.
اسکےتمام ماننےوالےکافر ہیں اور دائرہ اسلام…"
40,@fidahussainpaki وہ کافر ہے لیکن ہمارے والے مسلمان ہیں اور با خوبی مسلمانوں والا کام انجام دے رہے ہیں
41,@kiinbcde لماذا تقولني مالم اقل !!! .. قلت عميل صهيوني وهذه حقيقة .. لم أقل أنه كافر .. إتق الله .. برا
42,"RT @moavia_official: اگر کوئی صحابہ اکرام کو کافر کہتا ہے تو کائنات میں اس سے بڑا کافر کوئی نہیں   
https://t.co/m1pdFE8i8P…مکمل بیان یوٹیو…"
43,"RT @moavia_official: اگر کوئی صحابہ اکرام کو کافر کہتا ہے تو کائنات میں اس سے بڑا کافر کوئی نہیں   
https://t.co/m1pdFE8i8P…مکمل بیان یوٹیو…"
44,@HamzaSandhu26 @HajiQasimRizvi0 @Real_WAR92 یار مفتی منیب کو ہٹا کر کون سا کسی کافر کو لگایا ہے عبدالخبیر آزاد بھی تو عالم دین ہے
45,"RT @moavia_official: اگر کوئی صحابہ اکرام کو کافر کہتا ہے تو کائنات میں اس سے بڑا کافر کوئی نہیں   
https://t.co/m1pdFE8i8P…مکمل بیان یوٹیو…"
46,"٤- "" واتفق المنتمون إلى السّنة بأجمعهم على أنه غير مخلوق، وأنّ القائل بخلقه كافر، فأكثرهم قال: إنه كافر كفرًا ينقل عن الملة "".
- رسالة السجزي إلى أهل زبيد في الرد على من أنكر الحرف والصوت ١/١٥٣"
47,"٣- ما جاء في اعتقاد الرازيين رحمهما الله : 
وفي أوله التصريح بالإجماع "" أدركنا العلماء في جميع الأمصار حجازاً وعراقاً ومصر وشاما ويمناً""
إلى أن قالا "" فكان من مذهبهم :
ومن زعم أن القرآن مخلوق فهو كافر بالله العظيم كفراً ينقل عن الملة ومن شكّ في كفره ممن يفهم فهو كافر""."
48,@Ahmadmuaffaq هذا عار علينا جميعا أن نتكلم عنه  هذا كافر بحق البشرية  هذا انسان معاق
49,"RT @moavia_official: اگر کوئی صحابہ اکرام کو کافر کہتا ہے تو کائنات میں اس سے بڑا کافر کوئی نہیں   
https://t.co/m1pdFE8i8P…مکمل بیان یوٹیو…"
50,"RT @JUI_JTI_313: میں گواہی دیتاہوں کہ مرزاغلام احمدقادیانی جھوٹامدّعی نبوّت کافر ہےاور کذاب ہے.
اسکےتمام ماننےوالےکافر ہیں اور دائرہ اسلام…"
51,"RT @moavia_official: اگر کوئی صحابہ اکرام کو کافر کہتا ہے تو کائنات میں اس سے بڑا کافر کوئی نہیں   
https://t.co/m1pdFE8i8P…مکمل بیان یوٹیو…"
52,@SaPashtun1 @LalyDhakr @MohammadNabi007 سیي ده هغه یو لک او دیرش زره سره کافر به مونږ په مور هیواد سپاره کړي وي😏
53,"RT @moavia_official: اگر کوئی صحابہ اکرام کو کافر کہتا ہے تو کائنات میں اس سے بڑا کافر کوئی نہیں   
https://t.co/m1pdFE8i8P…مکمل بیان یوٹیو…"
54,"RT @qarieisa: احمقو
کافرانو
خوارجو هیبتي خنزیرانو!

څوک چې د بینظیرې سپین خښتګ یادوي بیا تاسې خوارج احمقان د سلو خواوو ورباندې د کفر ټاپې و…"
55,"RT @iAimalKhan_: میں گواہی دیتاہوں کہ مرزاغلام احمدقادیانی جھوٹامدّعی نبوّت کافر ہےاور کذاب ہے.
اسکےتمام ماننےوالےکافر ہیں اور دائرہ اسلام…"
56,"RT @SpynHqyqt: #دغه ویډیو د یهود کافر مرتد پاکستان ISI مشران
او تبلیغان خرڅ شوي عالمان او فضول او مت داړی تقي او سره دې نورو حرامیانو پاکست…"
57,@dr_fotros کُنتر که نمی اندازه توهم گوهت بخور نه با اومدن این حکومت مسلمون شدیم که بخواد با رفتنش کافر بشیم . بایکی از کثیف ترین پلید ترین وفاسد ترین افراد و ریاکار ترین وحريص به دنیا وصد البته احمق وبی ناموس ترین طرفدارانش در طول تاریخ  روبرو هستیم.
58,"RT @qarieisa: تا پنجاپي خوارج کافر
زما مقدس بیرغ د مقدسې کلیمې، قرآن، محراب اږ منبر سره داسې بی عزته د پښو لاندې واچولو او بیاهم ځان ته مسل…"
59,RT @sardarmaroofab3: @PakVocals @syed_bacha قادیانی کافر انڈین یہودی ایجنٹ عمران خان یہودیوں کادامادیہودی ایجنڈا https://t.co/rjbyhqPcZN
60,"الفتوى الخبيثة التي أطلقها العرب في شمال إفريقيا بمساعدة  السعوديين لخداع المسلمين غير العرب
لعن الله أبا لهب العربي, فهل الله كافر؟

Dirty Fatwa that was made up by North African Arabs and the Saudis to deceive Non_Arab Muslims 
God has cursed Abu Lahab the Arab, is God kafir? https://t.co/AjH3QIR1ve"
61,"RT @MaidahMuhammad: پیارے پاکستانیوں!
  ایک منٹ کیلئے علماء کے کافر سے متعلق معنی اور تعریف کو سائیڈ پر رکھ کر آؤ! ذرا ہم کتاب اللہ سے دیکھ…"
62,@damon_gilak @amirsharir2 خیلی گب نای می دیل بخام واشکاجم تا شانسر هیتو وا بگؤم ولی ای کافر گیلان و مازندران میئن هندی آدم کلاسای ویشتر هدری ازا خوره ننئن ولی ای زاکون ای چتین زندگی میئن خو وقت و عمر بنان ولی ایشون وافراز ایشون قدر ندؤنن ، هیچی ان ایشون ره ننای جز گرفتاری ، ببخشی دئه خیلی سر بدام
63,"RT @Arabiclit: سأل شابٌ رجلاً صالحاً:
""إذا كان الدجال مكتوباً على جبينه (كافر) 
فلا أعتقد أن يتبعه أحد؟!
قال له: ""علبة السجائر"" مكتوبٌ عليه…"
