,tweet
35,"RT @rajawaseem1511: حق کا بول بالا
جھوٹے کا منہ کالا"
36,"RT @pti0117: Iron lady 🔥🔥🔥🔥
میرا ملک کے باشعور وکیل جاگ چکے ہے وقت دور نہیں ہے جب سب کو گھسیٹا جائے گا انشاءاللہ 
یہ جو کالا کوٹ ہے 
غداروں…"
37,"RT @FatimaPTI_IK: وکیلوں نے نیا نعرہ ایجاد کر لیا ۔

"" یہ جو کالا کوٹ ہے مریم تیری موت ہے "" https://t.co/v0rc0SMjuv"
38,RT @malikkabuli: در مقاومت غرب کابل که حتی فولادها در اثر فیر و شلیک شورایی نظار آب شده بود، اما جوانان هزاره از فولاد هم قوی‌تر مقاومت کرد…
39,"RT @Umar__Mughal: وکلاء  نے  اپنا  نیا  نعرہ  بنا  لیا  ہے ۔ "" یہ  جو  کالا  کوٹ 

ہے ، مریم  کی  موت  ہے ""

#حقیقی_آزادی_جلسہ 
#قوم_کا_فیص…"
40,اصلی بات یہ ہے یہ دونوں حضرات وٹا سٹا کرتے رہے چوہدری کو جو سمجھ ایا بول دیا باجوا کا جو دل کیا بول دیا  دونون نشے مین تھے ہوش ای تو پھٹ گی یہ ایک جنرل اور صحافی کی  منہ کالا کرنے کی  شٹوری https://t.co/FrA0tFHESA
41,"RT @aliya_hamza: ماضی میں آئینِ کوفوجی ڈکٹیٹربندوق کی نوک پرتوڑتے
الحمداللہ پہلی مرتبہ خالص سویلین حکومت نےقلم کی مدد سےآئین توڑا
پارلیمنٹ…"
42,"RT @FatimaPTI_IK: وکیلوں نے نیا نعرہ ایجاد کر لیا ۔

"" یہ جو کالا کوٹ ہے مریم تیری موت ہے "" https://t.co/v0rc0SMjuv"
43,@wajih_sani کالا آن فائر 😁😁😁 او کالے کتے ۔۔۔۔تیری گھر میں کوئی نہیں سنتا ۔۔۔ تو صرف میر شکیل کا بھونکنے والا ایک کتا ہے
44,"RT @Aashi_2: او بیشرم بھگوڑے جاہل نالائق،چور نااہل 4سال سے منہ کالا کر رہا ہے لندن میں ۔۔۔
@MaryamNSharif @Marriyum_A https://t.co/k0bfpA5L…"
45,"RT @Amirzaaa59: اگر چه به دولت آقای رئیسی انتقاد داریم ولی هرگز به عقب برنمیگردیم.....!!!!
پ ن: صف توزیع سبد کالا در دولت روحانی👇 https://t…"
46,RT @BuhttaMuhammad: ڈرٹی ہیری کا منہ کالا اور ہاتھ خون سے رنگے ہوئے ہیں۔۔۔ https://t.co/t7N3aGdPP4
47,RT @iRaiSaqib: جاوید چودھری / میتلا سب جھوٹ بیچتے رہے اس کا مطلب؟ ان کے خلاف ایکشن ہونا چاہیے ورنہ عوام سمجھیں گے۔دال میں کچھ کالا ہے۔ 😬
48,RT @iRaiSaqib: جاوید چودھری / میتلا سب جھوٹ بیچتے رہے اس کا مطلب؟ ان کے خلاف ایکشن ہونا چاہیے ورنہ عوام سمجھیں گے۔دال میں کچھ کالا ہے۔ 😬
49,"RT @FatimaPTI_IK: وکیلوں نے نیا نعرہ ایجاد کر لیا ۔

"" یہ جو کالا کوٹ ہے مریم تیری موت ہے "" https://t.co/v0rc0SMjuv"
50,شما فکر کن محصولی که میخوای در #دیجی‌_کالا انتخاب کنی باید از چند تا فیلتر بگذره، اما وقتی اولین فیلتر رو اعمال میکنی سایت ریکوعست میفرسته سمت سرور، رفرش میشه و تو نمیتونی بقیه فیلترها رو اعمال کنی و  برای بقیه فیلترها این روند باطل ادامه داره !
51,"RT @rajawaseem1511: حق کا بول بالا
جھوٹے کا منہ کالا"
52,RT @Anas__Gujjar: فواد چوہدری کے منہ پر کالا کپڑا ڈال کر عدالت میں پیش کیا گیا تو یوتھیے اور نیازی چیخ رہے تھے کہ یہ کودہشت گرد ہے اب یہ لو…
53,"RT @FatimaPTI_IK: وکیلوں نے نیا نعرہ ایجاد کر لیا ۔

"" یہ جو کالا کوٹ ہے مریم تیری موت ہے "" https://t.co/v0rc0SMjuv"
54,"RT @rajawaseem1511: حق کا بول بالا
جھوٹے کا منہ کالا"
